Date,Price,Ticker
1/1/2022,0.5,EUR.ESTER.1D.ESTER
1/2/2022,0.5,EUR.ESTER.1D.ESTER
1/3/2022,0.5,EUR.ESTER.1D.ESTER
1/4/2022,0.5,EUR.ESTER.1D.ESTER
1/5/2022,0.5,EUR.ESTER.1D.ESTER
1/6/2022,0.5,EUR.ESTER.1D.ESTER
1/7/2022,0.5,EUR.ESTER.1D.ESTER
1/8/2022,0.5,EUR.ESTER.1D.ESTER
1/9/2022,0.5,EUR.ESTER.1D.ESTER
1/10/2022,0.5,EUR.ESTER.1D.ESTER
1/11/2022,0.5,EUR.ESTER.1D.ESTER
1/12/2022,0.5,EUR.ESTER.1D.ESTER
1/13/2022,0.5,EUR.ESTER.1D.ESTER
1/14/2022,0.5,EUR.ESTER.1D.ESTER
1/15/2022,0.5,EUR.ESTER.1D.ESTER
1/16/2022,0.5,EUR.ESTER.1D.ESTER
1/17/2022,0.5,EUR.ESTER.1D.ESTER
1/18/2022,0.5,EUR.ESTER.1D.ESTER
1/19/2022,0.5,EUR.ESTER.1D.ESTER
1/20/2022,0.5,EUR.ESTER.1D.ESTER
1/21/2022,0.5,EUR.ESTER.1D.ESTER
1/22/2022,0.5,EUR.ESTER.1D.ESTER
1/23/2022,0.5,EUR.ESTER.1D.ESTER
1/24/2022,0.5,EUR.ESTER.1D.ESTER
1/25/2022,0.5,EUR.ESTER.1D.ESTER
1/26/2022,0.5,EUR.ESTER.1D.ESTER
1/27/2022,0.5,EUR.ESTER.1D.ESTER
1/28/2022,0.5,EUR.ESTER.1D.ESTER
1/29/2022,0.5,EUR.ESTER.1D.ESTER
1/30/2022,0.5,EUR.ESTER.1D.ESTER
1/31/2022,0.55,EUR.ESTER.1D.ESTER
2/1/2022,0.55,EUR.ESTER.1D.ESTER
2/2/2022,0.55,EUR.ESTER.1D.ESTER
2/3/2022,0.55,EUR.ESTER.1D.ESTER
2/4/2022,0.55,EUR.ESTER.1D.ESTER
2/5/2022,0.55,EUR.ESTER.1D.ESTER
2/6/2022,0.55,EUR.ESTER.1D.ESTER
2/7/2022,0.55,EUR.ESTER.1D.ESTER
2/8/2022,0.55,EUR.ESTER.1D.ESTER
2/9/2022,0.55,EUR.ESTER.1D.ESTER
2/10/2022,0.55,EUR.ESTER.1D.ESTER
2/11/2022,0.55,EUR.ESTER.1D.ESTER
2/12/2022,0.55,EUR.ESTER.1D.ESTER
2/13/2022,0.55,EUR.ESTER.1D.ESTER
2/14/2022,0.55,EUR.ESTER.1D.ESTER
2/15/2022,0.55,EUR.ESTER.1D.ESTER
2/16/2022,0.55,EUR.ESTER.1D.ESTER
2/17/2022,0.55,EUR.ESTER.1D.ESTER
2/18/2022,0.55,EUR.ESTER.1D.ESTER
2/19/2022,0.55,EUR.ESTER.1D.ESTER
2/20/2022,0.55,EUR.ESTER.1D.ESTER
2/21/2022,0.55,EUR.ESTER.1D.ESTER
2/22/2022,0.55,EUR.ESTER.1D.ESTER
2/23/2022,0.55,EUR.ESTER.1D.ESTER
2/24/2022,0.55,EUR.ESTER.1D.ESTER
2/25/2022,0.55,EUR.ESTER.1D.ESTER
2/26/2022,0.55,EUR.ESTER.1D.ESTER
2/27/2022,0.55,EUR.ESTER.1D.ESTER
2/28/2022,0.55,EUR.ESTER.1D.ESTER
3/1/2022,0.6,EUR.ESTER.1D.ESTER
3/2/2022,0.6,EUR.ESTER.1D.ESTER
