Date,Price,Ticker
15/12/2020,3165.12,AMZN
16/12/2020,3240.96,AMZN
17/12/2020,3236.08,AMZN
18/12/2020,3201.65,AMZN
21/12/2020,3206.18,AMZN
22/12/2020,3206.52,AMZN
23/12/2020,3185.27,AMZN
24/12/2020,3172.69,AMZN
28/12/2020,3283.96,AMZN
29/12/2020,3322,AMZN
30/12/2020,3285.85,AMZN
31/12/2020,3256.93,AMZN
04/01/2021,3186.63,AMZN
05/01/2021,3218.51,AMZN
06/01/2021,3138.38,AMZN
07/01/2021,3162.16,AMZN
08/01/2021,3182.7,AMZN
11/01/2021,3114.21,AMZN
12/01/2021,3120.83,AMZN
13/01/2021,3165.89,AMZN
14/01/2021,3127.47,AMZN
15/01/2021,3104.25,AMZN
19/01/2021,3120.76,AMZN
20/01/2021,3263.38,AMZN
21/01/2021,3306.99,AMZN
22/01/2021,3292.23,AMZN
25/01/2021,3294,AMZN
26/01/2021,3326.13,AMZN
27/01/2021,3232.58,AMZN
28/01/2021,3237.62,AMZN
29/01/2021,3206.2,AMZN
01/02/2021,3342.88,AMZN
02/02/2021,3380,AMZN
03/02/2021,3312.53,AMZN
04/02/2021,3331,AMZN
05/02/2021,3352.15,AMZN
08/02/2021,3322.94,AMZN
09/02/2021,3305,AMZN
10/02/2021,3286.58,AMZN
11/02/2021,3262.13,AMZN
12/02/2021,3277.71,AMZN
16/02/2021,3268.95,AMZN
17/02/2021,3308.64,AMZN
18/02/2021,3328.23,AMZN
19/02/2021,3249.9,AMZN
22/02/2021,3180.74,AMZN
23/02/2021,3194.5,AMZN
24/02/2021,3159.53,AMZN
25/02/2021,3057.16,AMZN
26/02/2021,3092.93,AMZN
01/03/2021,3146.14,AMZN
02/03/2021,3094.53,AMZN
03/03/2021,3005,AMZN
04/03/2021,2977.57,AMZN
05/03/2021,3000.46,AMZN
08/03/2021,2951.95,AMZN
09/03/2021,3062.85,AMZN
10/03/2021,3057.64,AMZN
11/03/2021,3113.59,AMZN
12/03/2021,3089.49,AMZN
15/03/2021,3081.68,AMZN
16/03/2021,3091.86,AMZN
17/03/2021,3135.73,AMZN
18/03/2021,3027.99,AMZN
19/03/2021,3074.96,AMZN
22/03/2021,3110.87,AMZN
23/03/2021,3137.5,AMZN
24/03/2021,3087.07,AMZN
25/03/2021,3046.26,AMZN
26/03/2021,3052.03,AMZN
29/03/2021,3075.73,AMZN
30/03/2021,3055.29,AMZN
31/03/2021,3094.08,AMZN
01/04/2021,3161,AMZN
05/04/2021,3226.73,AMZN
06/04/2021,3223.82,AMZN
07/04/2021,3279.39,AMZN
08/04/2021,3299.3,AMZN
09/04/2021,3372.2,AMZN
12/04/2021,3379.39,AMZN
13/04/2021,3400,AMZN
14/04/2021,3333,AMZN
15/04/2021,3379.09,AMZN
16/04/2021,3399.44,AMZN
19/04/2021,3372.01,AMZN
20/04/2021,3334.69,AMZN
21/04/2021,3362.02,AMZN
22/04/2021,3309.04,AMZN
23/04/2021,3340.88,AMZN
26/04/2021,3409,AMZN
27/04/2021,3417.43,AMZN
28/04/2021,3458.5,AMZN
29/04/2021,3471.31,AMZN
30/04/2021,3467.42,AMZN
03/05/2021,3386.49,AMZN
04/05/2021,3311.87,AMZN
05/05/2021,3270.54,AMZN
06/05/2021,3306.37,AMZN
07/05/2021,3291.61,AMZN
10/05/2021,3190.49,AMZN
11/05/2021,3223.91,AMZN
12/05/2021,3151.94,AMZN
13/05/2021,3161.47,AMZN
14/05/2021,3222.9,AMZN
17/05/2021,3270.39,AMZN
18/05/2021,3232.28,AMZN
19/05/2021,3231.8,AMZN
20/05/2021,3247.68,AMZN
21/05/2021,3203.08,AMZN
24/05/2021,3244.99,AMZN
25/05/2021,3259.05,AMZN
26/05/2021,3265.16,AMZN
27/05/2021,3230.11,AMZN
28/05/2021,3223.07,AMZN
01/06/2021,3218.65,AMZN
02/06/2021,3233.99,AMZN
03/06/2021,3187.01,AMZN
04/06/2021,3206.22,AMZN
07/06/2021,3198.01,AMZN
08/06/2021,3264.11,AMZN
09/06/2021,3281.15,AMZN
10/06/2021,3349.65,AMZN
11/06/2021,3346.83,AMZN
14/06/2021,3383.87,AMZN
15/06/2021,3383.13,AMZN
16/06/2021,3415.25,AMZN
17/06/2021,3489.24,AMZN
18/06/2021,3486.9,AMZN
21/06/2021,3453.96,AMZN
22/06/2021,3505.44,AMZN
23/06/2021,3503.82,AMZN
24/06/2021,3449.08,AMZN
25/06/2021,3401.46,AMZN
28/06/2021,3443.89,AMZN
29/06/2021,3448.14,AMZN
30/06/2021,3440.16,AMZN
01/07/2021,3432.97,AMZN
02/07/2021,3510.98,AMZN
06/07/2021,3675.74,AMZN
07/07/2021,3696.58,AMZN
08/07/2021,3731.41,AMZN
09/07/2021,3719.34,AMZN
12/07/2021,3718.55,AMZN
13/07/2021,3677.36,AMZN
14/07/2021,3681.68,AMZN
15/07/2021,3631.2,AMZN
16/07/2021,3573.63,AMZN
19/07/2021,3549.59,AMZN
20/07/2021,3573.19,AMZN
21/07/2021,3585.2,AMZN
22/07/2021,3638.03,AMZN
23/07/2021,3656.64,AMZN
26/07/2021,3699.82,AMZN
27/07/2021,3626.39,AMZN
28/07/2021,3630.32,AMZN
29/07/2021,3599.92,AMZN
30/07/2021,3327.59,AMZN
02/08/2021,3331.48,AMZN
03/08/2021,3366.24,AMZN
04/08/2021,3354.72,AMZN
05/08/2021,3375.99,AMZN
06/08/2021,3344.94,AMZN
09/08/2021,3341.87,AMZN
10/08/2021,3320.68,AMZN
11/08/2021,3292.11,AMZN
12/08/2021,3303.5,AMZN
13/08/2021,3293.97,AMZN
16/08/2021,3298.99,AMZN
17/08/2021,3241.96,AMZN
18/08/2021,3201.22,AMZN
19/08/2021,3187.75,AMZN
20/08/2021,3199.95,AMZN
23/08/2021,3265.87,AMZN
24/08/2021,3305.78,AMZN
25/08/2021,3299.18,AMZN
26/08/2021,3316,AMZN
27/08/2021,3349.63,AMZN
30/08/2021,3421.57,AMZN
31/08/2021,3470.79,AMZN
01/09/2021,3479,AMZN
02/09/2021,3463.12,AMZN
03/09/2021,3478.05,AMZN
07/09/2021,3509.29,AMZN
08/09/2021,3525.5,AMZN
09/09/2021,3484.16,AMZN
10/09/2021,3469.15,AMZN
13/09/2021,3457.17,AMZN
14/09/2021,3450,AMZN
15/09/2021,3475.79,AMZN
16/09/2021,3488.24,AMZN
17/09/2021,3462.52,AMZN
20/09/2021,3355.73,AMZN
21/09/2021,3343.63,AMZN
22/09/2021,3380.05,AMZN
23/09/2021,3416,AMZN
24/09/2021,3425.52,AMZN
27/09/2021,3405.8,AMZN
28/09/2021,3315.96,AMZN
